                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4454,                 3.7911,                 3.8556,                0.53322,                0.06046,                0.01499,                0.00387,                 3.2518,                 4.8568,                  3.659,               0.070071,              0.0033254,              0.0033254
                      1,                 2.9669,                 3.1479,                  3.295,                0.60703,                0.11601,                0.07275,                0.01989,                 2.9173,                 3.1547,                 3.2226,               0.036775,              0.0033627,              0.0033627
